[ 2026-06-29 14:24:24,431 ] 18 root - INFO - Initiating data ingestion
[ 2026-06-29 14:24:28,263 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-29 14:24:28,264 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-29 14:24:28,264 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-29 14:24:28,303 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-29 14:24:28,303 ] 20 root - INFO - Data inititation completed
[ 2026-06-29 14:24:28,308 ] 24 root - INFO - Initiate the data Validation
[ 2026-06-29 14:24:28,364 ] 32 root - INFO - Required number of columns:2
[ 2026-06-29 14:24:28,364 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-29 14:24:28,364 ] 32 root - INFO - Required number of columns:2
[ 2026-06-29 14:24:28,364 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-29 14:24:28,483 ] 26 root - INFO - data Validation Completed
[ 2026-06-29 14:24:28,483 ] 29 root - INFO - data Transformation started
[ 2026-06-29 14:24:28,483 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-29 14:24:28,484 ] 65 root - INFO - Starting data transformation
