[ 2026-06-30 12:24:05,246 ] 20 root - INFO - Initiating data ingestion
[ 2026-06-30 12:24:07,800 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-30 12:24:07,800 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-30 12:24:07,800 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-30 12:24:07,840 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-30 12:24:07,840 ] 22 root - INFO - Data inititation completed
[ 2026-06-30 12:24:07,845 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-30 12:24:07,895 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 12:24:07,895 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 12:24:07,896 ] 32 root - INFO - Required number of columns:2
[ 2026-06-30 12:24:07,896 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-30 12:24:08,038 ] 28 root - INFO - data Validation Completed
[ 2026-06-30 12:24:08,038 ] 31 root - INFO - data Transformation started
[ 2026-06-30 12:24:08,039 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-30 12:24:08,039 ] 65 root - INFO - Starting data transformation
[ 2026-06-30 12:24:08,094 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-30 12:24:08,094 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-30 12:24:08,130 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 12:24:08,132 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 12:24:08,132 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 12:24:08,135 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 12:24:08,136 ] 35 root - INFO - data Transformation completed
[ 2026-06-30 12:24:08,136 ] 37 root - INFO - Model Training sstared
[ 2026-06-30 12:27:10,166 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 12:27:10,187 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 12:27:10,187 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-30 12:27:10,204 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-30 12:27:10,204 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_30_2026_12_24_02\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9905765528422332, precision_score=0.9884732052578362, recall_score=0.9926888708367181), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9811169144234633, precision_score=0.9721337579617835, recall_score=0.9902676399026764))
[ 2026-06-30 12:27:10,206 ] 42 root - INFO - Model Training artifact created
